,Quarter,Time,Tm,Detail,SEA,SFO
0,1,8:24,49ers,Chase McLaughlin 43 yard field goal,0,3
1,1,2:07,49ers,Kendrick Bourne 10 yard pass from Jimmy Garoppolo (Chase McLaughlin kick),0,10
2,2,2:57,Seahawks,Jadeveon Clowney 10 yard fumble return (Jason Myers kick),7,10
3,3,4:44,Seahawks,Jacob Hollister 3 yard pass from Russell Wilson (Jason Myers kick),14,10
4,3,1:46,Seahawks,Chris Carson 1 yard rush (Jason Myers kick),21,10
5,4,12:12,49ers,DeForest Buckner 12 yard fumble return (Kendrick Bourne pass from Jimmy Garoppolo),21,18
6,4,6:21,49ers,Chase McLaughlin 39 yard field goal,21,21
7,4,1:49,Seahawks,Jason Myers 46 yard field goal,24,21
8,4,0:06,49ers,Chase McLaughlin 47 yard field goal,24,24
9,OT,0:04,Seahawks,Jason Myers 42 yard field goal,27,24
