,Quarter,Tm,Detail,ATL,SFO
0,2.0,49ers,Jerry Rice 5 yard rush (Ray Wersching kick),0,7
1,3.0,49ers,Jerry Rice 20 yard pass from Steve Young (Ray Wersching kick),0,14
2,3.0,Falcons,Sylvester Stamps 97 yard kickoff return (Mick Luckhurst kick),7,14
3,3.0,49ers,Joe Cribbs 92 yard kickoff return (Ray Wersching kick),7,21
4,4.0,49ers,Steve Young 29 yard rush (Ray Wersching kick),7,28
5,4.0,49ers,Jerry Rice 1 yard pass from Steve Young (Ray Wersching kick),7,35
