,Quarter,Tm,Detail,SEA,SDG
0,2,Chargers,John Carney 20 yard field goal,0,3
1,2,Seahawks,Norm Johnson 26 yard field goal,3,3
2,3,Chargers,Arthur Cox 8 yard pass from Billy Joe Tolliver (John Carney kick),3,10
3,4,Seahawks,Derrick Fenner 1 yard rush (Norm Johnson kick),10,10
4,OT,Seahawks,Norm Johnson 40 yard field goal,13,10
