,Quarter,Time,Tm,Detail,JAX,CIN
0,1,1:51,Jaguars,Jimmy Smith 17 yard pass from Mark Brunell (Mike Hollis kick),7,0
1,2,1:09,Bengals,Corey Dillon 9 yard rush (Neil Rackers kick),7,7
2,3,5:41,Bengals,Neil Rackers 47 yard field goal,7,10
3,4,14:27,Jaguars,Keenan McCardell 11 yard pass from Mark Brunell (Mike Hollis kick),14,10
