,Quarter,Time,Tm,Detail,ARI,PHI
0,1.0,12:30,Eagles,Zach Ertz 6 yard pass from Nick Foles (Alex Henery kick),0,7
1,2.0,7:50,Cardinals,Larry Fitzgerald 43 yard pass from Carson Palmer (Jay Feely kick),7,7
2,2.0,3:59,Eagles,Alex Henery 32 yard field goal,7,10
3,2.0,0:15,Eagles,Brent Celek 1 yard pass from Nick Foles (Alex Henery kick),7,17
4,3.0,10:16,Eagles,Zach Ertz 24 yard pass from Nick Foles (Alex Henery kick),7,24
5,3.0,5:14,Cardinals,Michael Floyd 23 yard pass from Carson Palmer (Jay Feely kick),14,24
6,4.0,4:45,Cardinals,Jim Dray 3 yard pass from Carson Palmer (Jay Feely kick),21,24
