,Quarter,Time,Tm,Detail,SFO,ATL
0,1.0,11:24,Falcons,Julio Jones 46 yard pass from Matt Ryan (Matt Bryant kick),0,7
1,1.0,3:20,Falcons,Matt Bryant 35 yard field goal,0,10
2,2.0,14:54,Falcons,Julio Jones 20 yard pass from Matt Ryan (Matt Bryant kick),0,17
3,2.0,8:08,49ers,LaMichael James 15 yard rush (David Akers kick),7,17
4,2.0,1:55,49ers,Vernon Davis 4 yard pass from Colin Kaepernick (David Akers kick),14,17
5,2.0,0:25,Falcons,Tony Gonzalez 10 yard pass from Matt Ryan (Matt Bryant kick),14,24
6,3.0,10:47,49ers,Frank Gore 5 yard rush (David Akers kick),21,24
7,4.0,8:23,49ers,Frank Gore 9 yard rush (David Akers kick),28,24
