,Quarter,Tm,Detail,OOR,CLI
0,2.0,Indians,Doug Roby unknown yard pass from Pete Bahan (Doug Roby kick),0,7
1,3.0,Indians,John Tanner 10 yard pass from Doug Roby (John Tanner kick),0,14
2,4.0,Indians,Deke Edler 25 yard rush,0,20
3,4.0,Indians,Dick Wolf unknown yard rush (John Tanner kick),0,27
