,Quarter,Time,Tm,Detail,NYG,CHI
0,1.0,9:50,Bears,Tim Jennings 48 yard interception return (Robbie Gould kick),0,7
1,1.0,3:48,Giants,Brandon Jacobs 4 yard rush (Josh Brown kick),7,7
2,2.0,14:18,Bears,Brandon Marshall 10 yard pass from Jay Cutler (Robbie Gould kick),7,14
3,2.0,10:31,Giants,Rueben Randle 37 yard pass from Eli Manning (Josh Brown kick),14,14
4,2.0,5:20,Bears,Brandon Marshall 3 yard pass from Jay Cutler (Robbie Gould kick),14,21
5,2.0,0:02,Bears,Robbie Gould 40 yard field goal,14,24
6,3.0,11:23,Bears,Robbie Gould 52 yard field goal,14,27
7,3.0,0:06,Giants,Brandon Jacobs 1 yard rush (Josh Brown kick),21,27
