,Quarter,Tm,Detail,DAL,ATL
0,1.0,Cowboys,Scott Laidlaw 16 yard rush (Efren Herrera kick),7,0
1,3.0,Cowboys,Efren Herrera 23 yard field goal,10,0
2,4.0,Falcons,Nick Mike-Mayer 21 yard field goal,10,3
3,4.0,Falcons,Mike Esposito 35 yard rush (Nick Mike-Mayer kick),10,10
4,4.0,Falcons,Scott Hunter 1 yard rush (Nick Mike-Mayer kick),10,17
