,Quarter,Tm,Detail,RAI,KAN
0,1.0,Chiefs,Nick Lowery 36 yard field goal,0,3
1,1.0,Chiefs,Nick Lowery 48 yard field goal,0,6
2,4.0,Raiders,Steve Smith 2 yard rush (Jeff Jaeger kick),7,6
3,4.0,Chiefs,Nick Lowery 41 yard field goal,7,9
