,Quarter,Tm,Detail,WAS,NOR
0,1.0,Saints,Dave Whitsell 4 yard blocked punt return (Charlie Durkee kick),0,7
1,1.0,Saints,Don McCall 8 yard rush (Charlie Durkee kick),0,14
2,2.0,Redskins,Charlie Gogolak 14 yard field goal,3,14
3,2.0,Saints,Charlie Durkee 17 yard field goal,3,17
4,2.0,Saints,Charlie Durkee 28 yard field goal,3,20
5,3.0,Saints,Don McCall 4 yard pass from Billy Kilmer (Charlie Durkee kick),3,27
6,3.0,Redskins,Jerry Smith 23 yard pass from Sonny Jurgensen (Charlie Gogolak kick),10,27
7,4.0,Saints,Danny Abramowicz 43 yard pass from Billy Kilmer (Charlie Durkee kick),10,34
8,4.0,Redskins,Pat Richter 12 yard pass from Sonny Jurgensen (Charlie Gogolak kick),17,34
9,4.0,Saints,Charlie Durkee 40 yard field goal,17,37
