,Quarter,Tm,Detail,BUF,MIA
0,1.0,Bills,Scott Norwood 34 yard field goal,3,0
1,2.0,Dolphins,Troy Stradford 1 yard rush (Pete Stoyanovich kick),3,7
2,2.0,Dolphins,Pete Stoyanovich 29 yard field goal,3,10
3,3.0,Bills,Larry Kinnebrew 2 yard rush (Scott Norwood kick),10,10
4,3.0,Dolphins,Marc Logan 2 yard blocked punt return (Pete Stoyanovich kick),10,17
5,3.0,Bills,Scott Norwood 37 yard field goal,13,17
6,4.0,Dolphins,Andre Brown 8 yard pass from Dan Marino (Pete Stoyanovich kick),13,24
7,4.0,Bills,Flip Johnson 26 yard pass from Jim Kelly (Scott Norwood kick),20,24
8,4.0,Bills,Jim Kelly 2 yard rush (Scott Norwood kick),27,24
