,Quarter,Time,Tm,Detail,PIT,CIN
0,2.0,3:24,Steelers,Chris Boswell 26 yard field goal,3,0
1,2.0,2:00,Bengals,Tyler Boyd 15 yard pass from Ryan Finley (Randy Bullock kick),3,7
2,3.0,11:22,Steelers,James Washington 79 yard pass from Devlin Hodges (Chris Boswell kick),10,7
3,3.0,5:11,Bengals,Randy Bullock 27 yard field goal,10,10
4,4.0,12:04,Steelers,Chris Boswell 47 yard field goal,13,10
5,4.0,3:21,Steelers,Chris Boswell 26 yard field goal,16,10
