,Quarter,Time,Tm,Detail,MIN,CAR
0,1.0,12:34,Vikings,Percy Harvin 10 yard rush (Ryan Longwell kick),7,0
1,2.0,13:22,Panthers,Jeremy Shockey 1 yard pass from Cam Newton (Olindo Mare kick),7,7
2,2.0,10:18,Panthers,Greg Olsen 39 yard pass from Cam Newton (Olindo Mare kick),7,14
3,2.0,0:42,Vikings,Adrian Peterson 19 yard pass from Christian Ponder (Ryan Longwell kick),14,14
4,3.0,11:07,Panthers,Steve Smith 22 yard pass from Cam Newton (Olindo Mare kick),14,21
5,3.0,1:58,Vikings,Adrian Peterson 9 yard rush (Ryan Longwell kick),21,21
6,4.0,2:43,Vikings,Ryan Longwell 31 yard field goal,24,21
