,Quarter,Tm,Detail,SDG,BOS
0,1.0,Patriots,Jim Nance 2 yard rush (Charlie Gogolak kick),0,7
1,3.0,Chargers,Lance Alworth 6 yard pass from John Hadl (Mike Mercer kick),7,7
2,4.0,Chargers,"Safety, Kapp tackled in end zone by J. Owens",9,7
3,4.0,Chargers,Gary Garrison 60 yard pass from John Hadl (Mike Mercer kick),16,7
4,4.0,Patriots,Bake Turner 14 yard pass from Joe Kapp (Charlie Gogolak kick),16,14
