,Quarter,Time,Tm,Detail,IND,NWE
0,1.0,13:41,Patriots,LeGarrette Blount 2 yard rush (Stephen Gostkowski kick),0,7
1,1.0,7:17,Patriots,LeGarrette Blount 2 yard rush (Stephen Gostkowski kick),0,14
2,1.0,4:35,Colts,LaVon Brazill 38 yard pass from Andrew Luck (Adam Vinatieri kick),7,14
3,2.0,10:54,Patriots,LeGarrette Blount 2 yard rush (Stephen Gostkowski kick),7,21
4,2.0,5:35,Colts,Adam Vinatieri 36 yard field goal,10,21
5,2.0,2:18,Colts,"Safety, Ryan Allen fumble declared dead in end zone.",12,21
6,3.0,10:03,Colts,Adam Vinatieri 21 yard field goal,15,21
7,3.0,6:18,Patriots,Stevan Ridley 3 yard rush (Stevan Ridley run),15,29
8,3.0,5:01,Colts,LaVon Brazill 35 yard pass from Andrew Luck (Adam Vinatieri kick),22,29
9,4.0,12:55,Patriots,LeGarrette Blount 73 yard rush (Stephen Gostkowski kick),22,36
10,4.0,11:12,Patriots,Stevan Ridley 1 yard rush (Stephen Gostkowski kick),22,43
