,Quarter,Tm,Detail,HOU,CHI
0,1.0,Bears,Dick Butkus defensive fumble recovery in end zone (Mirro Roder kick),0,7
1,2.0,Bears,Carl Garrett 5 yard rush (Mirro Roder kick),0,14
2,2.0,Bears,George Farmer 5 yard pass from Bobby Douglass (Mirro Roder kick),0,21
3,3.0,Bears,Ike Hill 95 yard kickoff return (Mirro Roder kick),0,28
4,3.0,Oilers,Paul Robinson 5 yard rush (Skip Butler kick),7,28
5,4.0,Bears,Earl Thomas 1 yard pass from Gary Huff (Mirro Roder kick),7,35
6,4.0,Oilers,Ken Burrough 25 yard pass from Lynn Dickey (Skip Butler kick),14,35
