,Quarter,Time,Tm,Detail,TEN,PIT
0,1.0,14:57,Steelers,"Safety, Darius Reynaud tackled in end zone.",0,2
1,2.0,0:44,Titans,Jackie Battle 3 yard rush (Rob Bironas kick),7,2
2,3.0,4:29,Titans,Rob Bironas 26 yard field goal,10,2
3,4.0,6:01,Titans,Rob Bironas 44 yard field goal,13,2
4,4.0,3:53,Titans,Rob Bironas 27 yard field goal,16,2
5,4.0,1:23,Steelers,Jerricho Cotchery 4 yard pass from Ben Roethlisberger (Shaun Suisham kick),16,9
