,Quarter,Time,Tm,Detail,NYG,SFO
0,1.0,,Giants,Gary Brown 11 yard rush (Brad Daluiso kick),7,0
1,1.0,,49ers,Terrell Owens 79 yard pass from Steve Young (Wade Richey kick),7,7
2,2.0,0:31,49ers,Irv Smith 1 yard pass from Steve Young (Wade Richey kick),7,14
3,3.0,0:31,49ers,Terry Kirby 7 yard rush (Wade Richey kick),7,21
4,4.0,0:31,49ers,Wade Richey 39 yard field goal,7,24
5,4.0,0:31,49ers,Garrison Hearst 70 yard rush (Wade Richey kick),7,31
