,Quarter,Tm,Detail,BUF,SFO
0,1.0,Bills,Jerry Butler 10 yard pass from Joe Ferguson,6,0
1,1.0,49ers,Earl Cooper 4 yard rush,6,6
2,2.0,Bills,Curtis Brown 4 yard rush (Nick Mike-Mayer kick),13,6
3,3.0,49ers,Eason Ramson 2 yard pass from Joe Montana (Ray Wersching kick),13,13
4,3.0,Bills,Nick Mike-Mayer 25 yard field goal,16,13
5,3.0,Bills,"Safety, Miller tackled in end zone",18,13
