,Quarter,Tm,Detail,CRD,NYG
0,1.0,Giants,Hinkey Haines 12 yard pass from Jack McBride (Jack McBride kick),0,7
1,1.0,Giants,Jack McBride 10 yard rush (Jack McBride kick),0,14
2,1.0,Giants,Mule Wilson 25 yard pass from Jack McBride (Jack McBride kick),0,21
3,3.0,Cardinals,John Vesser 2 yard pass from Ike Mahoney (Evar Swanson kick),7,21
4,4.0,Giants,Doug Wycoff 1 yard rush (Doug Wycoff kick),7,28
