,Quarter,Tm,Detail,CIN,PIT
0,1.0,Bengals,Horst Muhlmann 33 yard field goal,3,0
1,1.0,Steelers,Dave Smith 16 yard pass from Terry Bradshaw (Roy Gerela kick),3,7
2,3.0,Bengals,Lemar Parrish 14 yard defensive fumble return (Horst Muhlmann kick),10,7
3,3.0,Steelers,Jon Staggers 67 yard punt return (Roy Gerela kick),10,14
4,4.0,Steelers,Preston Pearson 13 yard pass from Terry Bradshaw (Roy Gerela kick),10,21
