,Quarter,Time,Tm,Detail,WAS,SFO
0,1.0,11:13,49ers,Anquan Boldin 30 yard pass from Colin Kaepernick (Phil Dawson kick),0,7
1,2.0,5:33,Redskins,Alfred Morris 1 yard rush (Kai Forbath kick),7,7
2,2.0,0:00,49ers,Phil Dawson 41 yard field goal,7,10
3,3.0,0:31,Redskins,Kai Forbath 27 yard field goal,10,10
4,4.0,7:42,Redskins,Kai Forbath 46 yard field goal,13,10
5,4.0,2:59,49ers,Carlos Hyde 4 yard rush (Phil Dawson kick),13,17
