,Quarter,Time,Tm,Detail,HOU,ATL
0,1.0,,Oilers,Chris Sanders 62 yard pass from Chris Chandler (Al Del Greco kick),7,0
1,2.0,,Oilers,Al Del Greco 27 yard field goal,10,0
2,3.0,,Oilers,Steve McNair 10 yard rush (Al Del Greco kick),17,0
3,4.0,,Oilers,Al Del Greco 35 yard field goal,20,0
4,4.0,,Falcons,Terance Mathis 3 yard pass from Bobby Hebert (Morten Andersen kick),20,7
5,4.0,,Oilers,Al Del Greco 33 yard field goal,23,7
6,4.0,,Falcons,Terance Mathis 1 yard pass from Bobby Hebert (pass failed),23,13
