,Quarter,Tm,Detail,HOU,BAL
0,1.0,Colts,George Hunt 22 yard field goal,0,3
1,1.0,Oilers,Billy Parks 66 yard pass from Lynn Dickey (Skip Butler kick),7,3
2,2.0,Oilers,Bob Gresham 4 yard rush (Skip Butler kick),14,3
3,2.0,Oilers,Mack Alston 10 yard pass from Lynn Dickey (Lynn Dickey run),21,3
4,3.0,Colts,Stan White 19 yard interception return (George Hunt kick),21,10
5,3.0,Colts,John Andrews 1 yard pass from Marty Domres (George Hunt kick),21,17
6,4.0,Colts,Marty Domres 1 yard rush (George Hunt kick),21,24
7,4.0,Oilers,Skip Butler 38 yard field goal,24,24
8,4.0,Colts,George Hunt 36 yard field goal,24,27
9,4.0,Oilers,Fred Willis 13 yard pass from Lynn Dickey (Skip Butler kick),31,27
