,Quarter,Time,Tm,Detail,PIT,HOU
0,1.0,,Oilers,Al Del Greco 22 yard field goal,0,3
1,1.0,,Steelers,Charles Johnson 70 yard pass from Mike Tomczak (Norm Johnson kick),7,3
2,2.0,,Steelers,Norm Johnson 26 yard field goal,10,3
3,2.0,,Oilers,Al Del Greco 32 yard field goal,10,6
4,2.0,,Oilers,Al Del Greco 48 yard field goal,10,9
5,4.0,,Steelers,Norm Johnson 29 yard field goal,13,9
6,4.0,,Oilers,Willie Davis 34 yard pass from Chris Chandler (Al Del Greco kick),13,16
7,4.0,,Oilers,Eddie George 2 yard rush (Al Del Greco kick),13,23
