,Quarter,Tm,Detail,NYJ,MIA
0,2.0,Jets,Pat Leahy 21 yard field goal,3,0
1,2.0,Dolphins,Mark Duper 60 yard pass from Dan Marino (Fuad Reveiz kick),3,7
2,3.0,Dolphins,Mark Clayton 22 yard pass from Dan Marino (Fuad Reveiz kick),3,14
3,3.0,Jets,Freeman McNeil 14 yard pass from Ken O'Brien (Pat Leahy kick),10,14
4,4.0,Jets,Rocky Klever 20 yard pass from Ken O'Brien (Pat Leahy kick),17,14
5,4.0,Dolphins,Mark Duper 50 yard pass from Dan Marino (Fuad Reveiz kick),17,21
