,Quarter,Time,Tm,Detail,CHI,MIN
0,1.0,,Vikings,Randy Moss 6 yard pass from Randall Cunningham (Gary Anderson kick),0,7
1,1.0,,Vikings,Leroy Hoard 24 yard pass from Randall Cunningham (Gary Anderson kick),0,14
2,2.0,,Vikings,Gary Anderson 30 yard field goal,0,17
3,2.0,,Vikings,Gary Anderson 20 yard field goal,0,20
4,2.0,0:21,Vikings,Randy Moss 3 yard pass from Randall Cunningham (Gary Anderson kick),0,27
5,3.0,0:21,Bears,Bobby Engram 47 yard pass from Steve Stenstrom (Jeff Jaeger kick),7,27
6,3.0,0:21,Vikings,Randy Moss 34 yard pass from Randall Cunningham (Gary Anderson kick),7,34
7,3.0,0:21,Bears,Edgar Bennett 5 yard rush (Jeff Jaeger kick),14,34
8,4.0,0:21,Vikings,Leroy Hoard 8 yard rush (Gary Anderson kick),14,41
9,4.0,0:21,Vikings,Dwayne Rudd 94 yard defensive fumble return (Gary Anderson kick),14,48
10,4.0,0:21,Bears,Steve Stenstrom 4 yard rush (Chris Penn pass from Steve Stenstrom),22,48
