,Quarter,Tm,Detail,SFO,DEN
0,1.0,Broncos,Jerry Simmons 18 yard pass from Charley Johnson (Jim Turner kick),0,7
1,1.0,Broncos,Jim Turner 34 yard field goal,0,10
2,2.0,Broncos,Jim Turner 28 yard field goal,0,13
3,2.0,49ers,Bruce Gossett 22 yard field goal,3,13
4,2.0,49ers,Jimmy Thomas 5 yard rush (Bruce Gossett kick),10,13
5,2.0,49ers,John Brodie 1 yard rush (Bruce Gossett kick),17,13
6,2.0,49ers,Bruce Gossett 39 yard field goal,20,13
7,3.0,49ers,Bruce Gossett 14 yard field goal,23,13
8,3.0,49ers,Vic Washington 1 yard rush (Bruce Gossett kick),30,13
9,3.0,Broncos,Floyd Little 1 yard rush (Jim Turner kick),30,20
10,4.0,49ers,Bruce Gossett 46 yard field goal,33,20
11,4.0,Broncos,Gene Washington 19 yard pass from Charley Johnson (Jim Turner kick),33,27
12,4.0,Broncos,Floyd Little 1 yard rush (Jim Turner kick),33,34
13,4.0,49ers,Bruce Gossett 39 yard field goal,36,34
