,Quarter,Time,Tm,Detail,KAN,STL
0,1.0,2:14,Chiefs,Larry Johnson 1 yard rush (Lawrence Tynes kick),7,0
1,2.0,12:33,Chiefs,Tony Gonzalez 3 yard pass from Damon Huard (Lawrence Tynes kick),14,0
2,2.0,10:22,Chiefs,Lawrence Tynes 42 yard field goal,17,0
3,2.0,7:01,Rams,Steven Jackson 2 yard rush (Jeff Wilkins kick),17,7
4,2.0,0:48,Chiefs,Tony Gonzalez 25 yard pass from Damon Huard (Lawrence Tynes kick),24,7
5,2.0,0:00,Rams,Jeff Wilkins 41 yard field goal,24,10
6,3.0,3:50,Rams,Kevin Curtis 2 yard pass from Marc Bulger (Jeff Wilkins kick),24,17
7,4.0,6:20,Chiefs,Kris Wilson 11 yard pass from Damon Huard (Lawrence Tynes kick),31,17
