,Quarter,Tm,Detail,DEN,SEA
0,1.0,Broncos,Lonnie Perrin 1 yard rush (Jim Turner kick),7,0
1,1.0,Seahawks,Ron Howard 7 yard pass from Steve Myer (John Leypoldt kick),7,7
2,1.0,Broncos,Jim Turner 36 yard field goal,10,7
3,3.0,Broncos,Rob Lytle 47 yard pass from Craig Morton (Jim Turner kick),17,7
4,3.0,Seahawks,Steve Largent 43 yard pass from David Sims,17,13
5,3.0,Broncos,Craig Morton 1 yard rush (Jim Turner kick),24,13
