,Quarter,Tm,Detail,ATL,DET
0,1.0,Lions,Lem Barney 44 yard interception return (Wayne Walker kick),0,7
1,2.0,Falcons,Wade Traynham 34 yard field goal,3,7
2,2.0,Lions,Wayne Walker 22 yard field goal,3,10
3,4.0,Lions,Tom Nowatzke 25 yard pass from Karl Sweetan (Wayne Walker kick),3,17
4,4.0,Lions,Bill Malinchak 10 yard pass from Karl Sweetan (Wayne Walker kick),3,24
