,Quarter,Tm,Detail,NYG,CLE
0,2.0,Giants,Alex Webster 2 yard pass from Don Heinrich (Frank Gifford kick),7,0
1,2.0,Browns,Ed Modzelewski 1 yard rush (Lou Groza kick),7,7
2,3.0,Giants,Alex Webster 1 yard rush (Don Chandler kick),14,7
3,4.0,Giants,Alex Webster 34 yard rush (Don Chandler kick),21,7
4,4.0,Browns,"Safety, Conerly tackled by Wren in end zone",21,9
