,Quarter,Tm,Detail,CRD,CHI
0,2.0,Bears,Herb Joesting 2 yard rush,0,6
1,2.0,Bears,Red Grange 45 yard rush,0,12
2,3.0,Bears,Keith Molesworth 25 yard rush,0,18
3,4.0,Cardinals,Bunny Belden 2 yard rush (Ernie Nevers kick),7,18
