,Quarter,Tm,Detail,WAS,GNB
0,1.0,Packers,Mike Douglass 22 yard defensive fumble return (Jan Stenerud kick),0,7
1,1.0,Redskins,Clint Didier offensive fumble recovery in end zone (Mark Moseley kick),7,7
2,1.0,Packers,Jan Stenerud 47 yard field goal,7,10
3,1.0,Redskins,Mark Moseley 42 yard field goal,10,10
4,2.0,Packers,Paul Coffman 36 yard pass from Lynn Dickey (Jan Stenerud kick),10,17
5,2.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),17,17
6,2.0,Packers,Paul Coffman 9 yard pass from Lynn Dickey (Jan Stenerud kick),17,24
7,2.0,Redskins,Mark Moseley 28 yard field goal,20,24
8,3.0,Packers,Gerry Ellis 24 yard rush (Jan Stenerud kick),20,31
9,3.0,Redskins,Mark Moseley 31 yard field goal,23,31
10,3.0,Redskins,Joe Washington 6 yard pass from Joe Theismann (Mark Moseley kick),30,31
11,3.0,Redskins,Mark Moseley 28 yard field goal,33,31
12,4.0,Packers,Gary Lewis 2 yard rush (Jan Stenerud kick),33,38
13,4.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),40,38
14,4.0,Packers,Mike Meade 31 yard pass from Lynn Dickey (Jan Stenerud kick),40,45
15,4.0,Redskins,Joe Washington 5 yard pass from Joe Theismann (Mark Moseley kick),47,45
16,4.0,Packers,Jan Stenerud 20 yard field goal,47,48
