,Quarter,Tm,Detail,BUF,NWE
0,2.0,Bills,Roland Hooks 28 yard rush (Tom Dempsey kick),7,0
1,2.0,Patriots,Sam Cunningham 4 yard rush (David Posey kick),7,7
2,2.0,Bills,Tom Dempsey 26 yard field goal,10,7
3,3.0,Bills,Terry Miller 32 yard rush (Tom Dempsey kick),17,7
4,3.0,Patriots,Steve Grogan 4 yard rush (David Posey kick),17,14
5,4.0,Patriots,Horace Ivory 20 yard rush (David Posey kick),17,21
6,4.0,Bills,Frank Lewis 21 yard pass from Joe Ferguson (Tom Dempsey kick),24,21
7,4.0,Patriots,"Safety, Fox ran Jackson out of end zone",24,23
8,4.0,Patriots,David Posey 21 yard field goal,24,26
