,Quarter,Tm,Detail,NYG,DEN
0,1.0,Broncos,Rich Karlis 48 yard field goal,0,3
1,1.0,Giants,Zeke Mowatt 6 yard pass from Phil Simms (Raul Allegre kick),7,3
2,1.0,Broncos,John Elway 4 yard rush (Rich Karlis kick),7,10
3,2.0,Giants,"Safety, Martin tackled Elway in end zone",9,10
4,3.0,Giants,Mark Bavaro 13 yard pass from Phil Simms (Raul Allegre kick),16,10
5,3.0,Giants,Raul Allegre 21 yard field goal,19,10
6,3.0,Giants,Joe Morris 1 yard rush (Raul Allegre kick),26,10
7,4.0,Giants,Phil McConkey 6 yard pass from Phil Simms (Raul Allegre kick),33,10
8,4.0,Broncos,Rich Karlis 28 yard field goal,33,13
9,4.0,Giants,Ottis Anderson 2 yard rush,39,13
10,4.0,Broncos,Vance Johnson 47 yard pass from John Elway (Rich Karlis kick),39,20
