,Quarter,Tm,Detail,PIT,CHI
0,1.0,Bears,Bill Osmanski 13 yard rush (Bob Snyder kick),0,7
1,2.0,Bears,George McAfee 33 yard rush (Bob Snyder kick),0,14
2,2.0,Bears,Ken Kavanaugh 45 yard pass from Sid Luckman (Joe Maniaci kick),0,21
3,2.0,Steelers,Joe Hoague 14 yard pass from Dick Riffle (Armand Niccolai kick),7,21
4,3.0,Bears,Hampton Pool 56 yard pass from Sid Luckman (Lee Artoe kick),7,28
5,4.0,Bears,Hugh Gallarneau 1 yard rush,7,34
