,Quarter,Tm,Detail,CRD,PHI
0,1.0,Eagles,Frank Ziegler 1 yard rush (Bobby Walston kick),0,7
1,1.0,Eagles,Hal Giancanelli 37 yard pass from Bobby Thomason (Bobby Walston kick),0,14
2,2.0,Eagles,Bobby Walston 27 yard field goal,0,17
3,2.0,Eagles,Jerry Williams 1 yard rush (Bobby Walston kick),0,24
4,3.0,Eagles,Jerry Williams 4 yard rush (Bobby Walston kick),0,31
5,4.0,Eagles,Don Johnson 2 yard rush (Bobby Walston kick),0,38
