,Quarter,Tm,Detail,CIN,STL
0,1.0,Bengals,Stanford Jennings 4 yard pass from Ken Anderson (Jim Breech kick),7,0
1,1.0,Cardinals,Earl Ferrell 27 yard pass from Neil Lomax (Neil O'Donoghue kick),7,7
2,2.0,Bengals,Eddie Brown 44 yard pass from Ken Anderson (Jim Breech kick),14,7
3,2.0,Cardinals,Ottis Anderson 1 yard rush (Neil O'Donoghue kick),14,14
4,2.0,Cardinals,Neil O'Donoghue 46 yard field goal,14,17
5,3.0,Cardinals,Roy Green 25 yard pass from Neil Lomax (Neil O'Donoghue kick),14,24
6,3.0,Bengals,Jim Breech 33 yard field goal,17,24
7,3.0,Cardinals,Neil O'Donoghue 49 yard field goal,17,27
8,4.0,Bengals,Jim Breech 47 yard field goal,20,27
9,4.0,Cardinals,Stump Mitchell 1 yard rush (Neil O'Donoghue kick),20,34
10,4.0,Cardinals,Perry Harrington 1 yard rush (Neil O'Donoghue kick),20,41
11,4.0,Bengals,Larry Kinnebrew 29 yard pass from Boomer Esiason (Jim Breech kick),27,41
