,Quarter,Tm,Detail,PIT,PHI
0,1.0,Steelers,Paul Held 31 yard field goal,3,0
1,1.0,Eagles,Bobby Walston 24 yard pass from Bobby Thomason (Bobby Walston kick),3,7
2,1.0,Eagles,Jerry Williams 11 yard rush (Bobby Walston kick),3,14
3,2.0,Eagles,Bobby Walston 14 yard field goal,3,17
4,2.0,Steelers,Jack Butler 23 yard interception return (Paul Held kick),10,17
5,2.0,Steelers,"Safety, Thomason tackled in end zone by McPeak",12,17
6,3.0,Steelers,Johnny Lattner 7 yard rush (Paul Held kick),19,17
7,4.0,Steelers,Paul Held 17 yard field goal,22,17
8,4.0,Eagles,Pete Pihos 13 yard pass from Adrian Burk (Bobby Walston kick),22,24
