,Quarter,Tm,Detail,DAL,WAS
0,2.0,Redskins,Ray McDonald 1 yard rush (John Love kick),0,7
1,3.0,Cowboys,Lance Rentzel 25 yard pass from Don Meredith (Danny Villanueva kick),7,7
2,3.0,Cowboys,Danny Villanueva 27 yard field goal,10,7
3,4.0,Redskins,Charley Taylor 8 yard pass from Sonny Jurgensen (John Love kick),10,14
4,4.0,Cowboys,Dan Reeves 36 yard pass from Don Meredith (Danny Villanueva kick),17,14
