,Quarter,Tm,Detail,GNB,NOR
0,1.0,Saints,Wayne Wilson 1 yard rush (Morten Andersen kick),0,7
1,2.0,Packers,Al Del Greco 41 yard field goal,3,7
2,2.0,Packers,Paul Coffman 33 yard pass from Lynn Dickey (Al Del Greco kick),10,7
3,2.0,Saints,Morten Andersen 35 yard field goal,10,10
4,3.0,Packers,Paul Coffman 5 yard pass from Lynn Dickey (Al Del Greco kick),17,10
5,3.0,Packers,Al Del Greco 34 yard field goal,20,10
6,4.0,Saints,Morten Andersen 46 yard field goal,20,13
7,4.0,Packers,Al Del Greco 41 yard field goal,23,13
