,Quarter,Tm,Detail,MIN,RAI
0,1.0,Raiders,Todd Christensen 34 yard pass from Marc Wilson (Chris Bahr kick),0,7
1,1.0,Vikings,Mike Jones 70 yard pass from Tommy Kramer (Jan Stenerud kick),7,7
2,1.0,Vikings,Allen Rice 3 yard rush,13,7
3,2.0,Raiders,Chris Bahr 22 yard field goal,13,10
4,3.0,Raiders,Chris Bahr 24 yard field goal,13,13
5,3.0,Vikings,Mike Mularkey 2 yard pass from Tommy Kramer (Jan Stenerud kick),20,13
6,4.0,Raiders,Marcus Allen 1 yard rush (Chris Bahr kick),20,20
7,4.0,Raiders,Chris Bahr 20 yard field goal,20,23
