,Quarter,Tm,Detail,DEN,HOU
0,1.0,Oilers,Jerry LeVias 63 yard pass from Charley Johnson (Roy Gerela kick),0,7
1,1.0,Oilers,Jerry LeVias 5 yard pass from Charley Johnson (Roy Gerela kick),0,14
2,2.0,Oilers,Roy Gerela 33 yard field goal,0,17
3,2.0,Oilers,Mike Richardson 1 yard rush (Roy Gerela kick),0,24
4,3.0,Oilers,Mike Richardson 17 yard pass from Charley Johnson (Roy Gerela kick),0,31
5,4.0,Broncos,Bobby Anderson 1 yard rush (Bobby Howfield kick),7,31
6,4.0,Broncos,Billy Van Heusen 58 yard pass from Alan Pastrana (Bobby Howfield kick),14,31
7,4.0,Broncos,Alan Pastrana 9 yard rush (Bobby Howfield kick),21,31
