,Quarter,Time,Tm,Detail,SDG,IND
0,1.0,,Colts,Cary Blanchard 36 yard field goal,0,3
1,1.0,,Chargers,Tony Martin 51 yard pass from Stan Humphries (John Carney kick),7,3
2,2.0,,Colts,Ken Dilger 13 yard pass from Jim Harbaugh (Cary Blanchard kick),7,10
3,3.0,,Chargers,Stan Humphries 1 yard rush (John Carney kick),14,10
4,4.0,,Colts,Cary Blanchard 42 yard field goal,14,13
5,4.0,,Chargers,Tony Martin 38 yard pass from Stan Humphries (John Carney kick),21,13
6,4.0,,Colts,Marshall Faulk 1 yard rush (Floyd Turner pass from Jim Harbaugh ),21,21
7,4.0,,Chargers,John Carney 33 yard field goal,24,21
8,4.0,,Colts,Cary Blanchard 50 yard field goal,24,24
9,4.0,,Chargers,John Carney 43 yard field goal,27,24
