,Quarter,Tm,Detail,MIA,BUF
0,1.0,Dolphins,Mark Clayton 43 yard pass from Dan Marino (Charlie Baumann kick),7,0
1,2.0,Dolphins,Mark Higgs 3 yard rush (Charlie Baumann kick),14,0
2,2.0,Bills,Andre Reed 54 yard pass from Jim Kelly (Scott Norwood kick),14,7
3,3.0,Dolphins,Charlie Baumann 21 yard field goal,17,7
4,3.0,Bills,Butch Rolle 3 yard pass from Frank Reich (Scott Norwood kick),17,14
5,3.0,Bills,Thurman Thomas 50 yard pass from Jim Kelly (Scott Norwood kick),17,21
6,4.0,Dolphins,Mark Clayton 5 yard pass from Dan Marino (Charlie Baumann kick),24,21
7,4.0,Bills,Carwell Gardner 1 yard rush (Scott Norwood kick),24,28
8,4.0,Bills,Thurman Thomas 7 yard rush (Scott Norwood kick),24,35
9,4.0,Dolphins,Mark Duper 3 yard pass from Dan Marino (Charlie Baumann kick),31,35
