,Quarter,Time,Tm,Detail,BAL,BUF
0,1.0,5:00,Ravens,Justin Tucker 36 yard field goal,3,0
1,2.0,13:37,Ravens,Nick Boyle 3 yard pass from Lamar Jackson (Justin Tucker kick),10,0
2,2.0,8:24,Bills,Stephen Hauschka 36 yard field goal,10,3
3,2.0,0:30,Bills,Stephen Hauschka 47 yard field goal,10,6
4,3.0,13:44,Ravens,Hayden Hurst 61 yard pass from Lamar Jackson (Justin Tucker kick),17,6
5,3.0,11:31,Bills,Stephen Hauschka 48 yard field goal,17,9
6,4.0,9:54,Ravens,Willie Snead 4 yard pass from Lamar Jackson (Justin Tucker kick),24,9
7,4.0,7:04,Bills,Cole Beasley 3 yard pass from Josh Allen (Cole Beasley pass from Josh Allen ),24,17
