,Quarter,Tm,Detail,SEA,OAK
0,1.0,Raiders,Jim Plunkett 13 yard rush (Chris Bahr kick),0,7
1,2.0,Seahawks,Efren Herrera 26 yard field goal,3,7
2,2.0,Raiders,Morris Bradshaw 29 yard pass from Jim Plunkett,3,13
3,3.0,Seahawks,Sam McCullum 36 yard pass from Jim Zorn (Efren Herrera kick),10,13
4,4.0,Raiders,Derrick Jensen 1 yard rush (Chris Bahr kick),10,20
