,Quarter,Tm,Detail,MIN,GNB
0,1.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),7,0
1,2.0,Vikings,Bill Brown 10 yard rush (Fred Cox kick),14,0
2,2.0,Vikings,"Safety, Starr tackled in end zone by Marsrall.",16,0
3,3.0,Packers,Bart Starr 10 yard rush,16,6
4,3.0,Vikings,Clint Jones 4 yard rush (Fred Cox kick),23,6
5,3.0,Vikings,Fred Cox 29 yard field goal,26,6
6,4.0,Packers,Carroll Dale 7 yard pass from Bart Starr (Jerry Kramer kick),26,13
