,Quarter,Tm,Detail,SFO,DAL
0,2.0,49ers,Brent Jones 36 yard pass from Steve Young (Mike Cofer kick),7,0
1,2.0,Cowboys,Kelvin Martin 32 yard pass from Steve Walsh (Roger Ruzek kick),7,7
2,3.0,49ers,Johnnie Jackson 75 yard blocked field goal return (Mike Cofer kick),14,7
3,3.0,Cowboys,Darryl Clack 1 yard rush (Roger Ruzek kick),14,14
4,4.0,49ers,Jerry Rice 8 yard pass from Steve Young (Mike Cofer kick),21,14
5,4.0,49ers,Mike Cofer 31 yard field goal,24,14
6,4.0,49ers,Roger Craig 1 yard rush (Mike Cofer kick),31,14
