,Quarter,Time,Tm,Detail,CAR,CLE
0,1.0,10:36,Panthers,Mike Goodson 26 yard rush (John Kasay kick),7,0
1,1.0,6:49,Browns,Peyton Hillis 9 yard rush (Phil Dawson kick),7,7
2,1.0,2:44,Browns,Peyton Hillis 5 yard rush (Phil Dawson kick),7,14
3,2.0,9:12,Browns,Peyton Hillis 6 yard rush (Phil Dawson kick),7,21
4,2.0,3:19,Panthers,John Kasay 43 yard field goal,10,21
5,2.0,0:47,Panthers,John Kasay 42 yard field goal,13,21
6,3.0,12:18,Panthers,Captain Munnerlyn 37 yard interception return (John Kasay kick),20,21
7,4.0,7:01,Panthers,John Kasay 43 yard field goal,23,21
8,4.0,2:42,Browns,Phil Dawson 41 yard field goal,23,24
