,Quarter,Time,Tm,Detail,CHI,ARI
0,1.0,7:06,Cardinals,Bryant Johnson 11 yard pass from Matt Leinart (Neil Rackers kick),0,7
1,1.0,0:54,Cardinals,Anquan Boldin 26 yard pass from Matt Leinart (Neil Rackers kick),0,14
2,2.0,4:15,Cardinals,Neil Rackers 41 yard field goal,0,17
3,2.0,0:00,Cardinals,Neil Rackers 28 yard field goal,0,20
4,3.0,7:22,Bears,Robbie Gould 23 yard field goal,3,20
5,3.0,1:47,Cardinals,Neil Rackers 29 yard field goal,3,23
6,3.0,0:02,Bears,Mike Brown 3 yard defensive fumble return (Robbie Gould kick),10,23
7,4.0,5:00,Bears,Charles Tillman 40 yard defensive fumble return (Robbie Gould kick),17,23
8,4.0,2:58,Bears,Devin Hester 83 yard punt return (Robbie Gould kick),24,23
