,Quarter,Tm,Detail,TAM,CHI
0,2.0,Bears,Bob Thomas 30 yard field goal,0,3
1,3.0,Bears,Mike Phipps 5 yard rush (Bob Thomas kick),0,10
2,3.0,Bears,Bob Thomas 44 yard field goal,0,13
3,4.0,Bears,Bob Thomas 29 yard field goal,0,16
4,4.0,Bears,Mike Phipps 1 yard rush (Bob Thomas kick),0,23
