,Quarter,Tm,Detail,MIN,ATL
0,2.0,Falcons,Charlie Brown 34 yard pass from David Archer (Mick Luckhurst kick),0,7
1,2.0,Falcons,Joe Washington 1 yard rush (Mick Luckhurst kick),0,14
2,2.0,Vikings,Darrin Nelson 6 yard rush (Jan Stenerud kick),7,14
3,4.0,Vikings,Anthony Carter 49 yard pass from Tommy Kramer,13,14
