,Quarter,Tm,Detail,NWE,SEA
0,1,Patriots,John Smith 21 yard field goal,3,0
1,2,Patriots,Mark van Eeghen 5 yard pass from Steve Grogan (John Smith kick),10,0
2,3,Patriots,John Smith 37 yard field goal,13,0
3,4,Patriots,John Smith 23 yard field goal,16,0
