,Quarter,Tm,Detail,RAI,MIN
0,1.0,Raiders,Chris Bahr 21 yard field goal,3,0
1,2.0,Vikings,Tommy Kramer 1 yard rush (Chuck Nelson kick),3,7
2,3.0,Vikings,Wade Wilson 1 yard rush (Chuck Nelson kick),3,14
3,3.0,Vikings,Hassan Jones 58 yard pass from Wade Wilson (Chuck Nelson kick),3,21
4,3.0,Raiders,James Lofton 9 yard pass from Marc Wilson (Chris Bahr kick),10,21
5,3.0,Raiders,Chris Bahr 25 yard field goal,13,21
6,4.0,Vikings,Chuck Nelson 37 yard field goal,13,24
7,4.0,Vikings,Steve Jordan 11 yard pass from Wade Wilson (Chuck Nelson kick),13,31
8,4.0,Raiders,Dokie Williams 27 yard pass from Marc Wilson (Chris Bahr kick),20,31
