,Quarter,Tm,Detail,STL,SFO
0,2.0,Cardinals,Jim Bakken 33 yard field goal,3,0
1,2.0,Cardinals,Jimmy Burson 68 yard punt return (Jim Bakken kick),10,0
2,2.0,Cardinals,Jim Bakken 40 yard field goal,13,0
3,3.0,49ers,Tommy Davis 18 yard field goal,13,3
4,3.0,Cardinals,John David Crow 1 yard rush (Jim Bakken kick),20,3
5,3.0,49ers,Tommy Davis 30 yard field goal,20,6
6,4.0,49ers,Monty Stickles 33 yard pass from John Brodie (Tommy Davis kick),20,13
7,4.0,Cardinals,Jim Bakken 40 yard field goal,23,13
