,Quarter,Time,Tm,Detail,TAM,GNB
0,1.0,,Packers,Mark Ingram 9 yard pass from Brett Favre (Chris Jacke kick),0,7
1,2.0,,Buccaneers,Errict Rhett 1 yard rush (Michael Husted kick),7,7
2,2.0,,Buccaneers,Michael Husted 19 yard field goal,10,7
3,2.0,,Packers,Robert Brooks 54 yard pass from Brett Favre (Chris Jacke kick),10,14
4,2.0,,Packers,Dorsey Levens 1 yard rush (Chris Jacke kick),10,21
5,3.0,,Buccaneers,Michael Husted 48 yard field goal,13,21
6,3.0,,Packers,Dorsey Levens 1 yard rush (Chris Jacke kick),13,28
7,4.0,,Packers,Robert Brooks 3 yard pass from Brett Favre (Chris Jacke kick),13,35
