,Quarter,Tm,Detail,CRD,WAS
0,1.0,Redskins,Vic Janowicz 18 yard field goal,0,3
1,1.0,Cardinals,Gern Nagler 8 yard pass from Lamar McHan (Pat Summerall kick),7,3
2,2.0,Cardinals,Pat Summerall 43 yard field goal,10,3
3,3.0,Cardinals,Lamar McHan 1 yard rush (Pat Summerall kick),17,3
4,4.0,Redskins,Vic Janowicz 1 yard rush (Vic Janowicz kick),17,10
5,4.0,Cardinals,Mal Hammack 2 yard rush (Pat Summerall kick),24,10
