,Quarter,Tm,Detail,BKN,PHI
0,2,Dodgers,Bobby Wilson 51 yard rush,6,0
1,3,Dodgers,Ralph Kercheval unknown yard rush (Ralph Kercheval kick),13,0
2,4,Eagles,Swede Hanson 3 yard rush (Hank Reese kick),13,7
