,Quarter,Tm,Detail,CLE,DET
0,1.0,Lions,Jim Martin 31 yard field goal,0,3
1,1.0,Lions,Tobin Rote 1 yard rush (Jim Martin kick),0,10
2,1.0,Lions,Gene Gedman 1 yard rush (Jim Martin kick),0,17
3,2.0,Browns,Jim Brown 29 yard rush (Lou Groza kick),7,17
4,2.0,Lions,Steve Junker 26 yard pass from Tobin Rote (Jim Martin kick),7,24
5,2.0,Lions,Terry Barr 19 yard interception return (Jim Martin kick),7,31
6,3.0,Browns,Lew Carpenter 5 yard rush (Lou Groza kick),14,31
7,3.0,Lions,Jim Doran 78 yard pass from Tobin Rote (Jim Martin kick),14,38
8,3.0,Lions,Steve Junker 23 yard pass from Tobin Rote (Jim Martin kick),14,45
9,4.0,Lions,Dave Middleton 32 yard pass from Tobin Rote (Jim Martin kick),14,52
10,4.0,Lions,Howard Cassady 16 yard pass from Jerry Reichow (Jim Martin kick),14,59
