,Quarter,Tm,Detail,RAI,DEN
0,1.0,Broncos,David Treadwell 45 yard field goal,0,3
1,1.0,Raiders,Steve Smith 4 yard rush (Jeff Jaeger kick),7,3
2,2.0,Broncos,Vance Johnson 21 yard pass from John Elway (David Treadwell kick),7,10
3,3.0,Raiders,Bo Jackson 11 yard rush (Jeff Jaeger kick),14,10
4,4.0,Broncos,David Treadwell 21 yard field goal,14,13
5,4.0,Raiders,Bo Jackson 62 yard rush,20,13
6,4.0,Raiders,Jeff Jaeger 46 yard field goal,23,13
7,4.0,Broncos,Mike Young 8 yard pass from John Elway (David Treadwell kick),23,20
