,Quarter,Tm,Detail,NWE,MIA
0,1.0,Patriots,Don Hasselbeck 6 yard pass from Matt Cavanaugh (John Smith kick),7,0
1,2.0,Dolphins,David Woodley 1 yard rush (Uwe von Schamann kick),7,7
2,2.0,Dolphins,Mike Kozlowski 25 yard defensive fumble return (Uwe von Schamann kick),7,14
3,3.0,Patriots,Matt Cavanaugh 1 yard rush (John Smith kick),14,14
4,3.0,Dolphins,Eddie Hill 4 yard pass from David Woodley (Uwe von Schamann kick),14,21
5,4.0,Dolphins,Uwe von Schamann 32 yard field goal,14,24
